,Monthnum,Month,year,visitors,HILOKONAtotal,Month,Year
1,1,JAN,X2017,197836,199130,1,2017
2,2,FEB,X2017,169822,184505,2,2017
3,3,MAR,X2017,165607,213153,3,2017
4,4,APR,X2017,151049,183982,4,2017
5,5,MAY,X2017,155710,192349,5,2017
6,6,JUN,X2017,180135,218728,6,2017
7,7,JUL,X2017,201554,238478,7,2017
8,8,AUG,X2017,183307,210341,8,2017
13,1,JAN,X2016,167814,179286,1,2016
14,2,FEB,X2016,164194,178035,2,2016
15,3,MAR,X2016,145909,196248,3,2016
16,4,APR,X2016,129986,161418,4,2016
17,5,MAY,X2016,138100,171693,5,2016
18,6,JUN,X2016,165905,195376,6,2016
19,7,JUL,X2016,182278,213445,7,2016
20,8,AUG,X2016,180413,189334,8,2016
21,9,SEP,X2016,126474,162322,9,2016
22,10,OCT,X2016,146883,181040,10,2016
23,11,NOV,X2016,162033,172762,11,2016
24,12,DEC,X2016,177591,209339,12,2016
25,1,JAN,X2015,156106,171774,1,2015
26,2,FEB,X2015,151778,168083,2,2015
27,3,MAR,X2015,145077,191403,3,2015
28,4,APR,X2015,140357,155924,4,2015
29,5,MAY,X2015,169435,169084,5,2015
30,6,JUN,X2015,170792,191286,6,2015
31,7,JUL,X2015,178630,206070,7,2015
32,8,AUG,X2015,164216,186253,8,2015
33,9,SEP,X2015,126494,149067,9,2015
34,10,OCT,X2015,133769,167457,10,2015
35,11,NOV,X2015,136135,162941,11,2015
36,12,DEC,X2015,159871,193445,12,2015
37,1,JAN,X2014,157772,174154,1,2014
38,2,FEB,X2014,157000,166348,2,2014
39,3,MAR,X2014,140499,184878,3,2014
40,4,APR,X2014,127184,155645,4,2014
41,5,MAY,X2014,123662,158701,5,2014
42,6,JUN,X2014,146570,174121,6,2014
43,7,JUL,X2014,163849,195099,7,2014
44,8,AUG,X2014,151578,176190,8,2014
45,9,SEP,X2014,121950,142781,9,2014
46,10,OCT,X2014,121337,161554,10,2014
47,11,NOV,X2014,131262,158993,11,2014
48,12,DEC,X2014,150342,183255,12,2014
49,1,JAN,X2013,150606,171789,1,2013
50,2,FEB,X2013,147131,166753,2,2013
51,3,MAR,X2013,139222,190113,3,2013
52,4,APR,X2013,124963,157787,4,2013
53,5,MAY,X2013,117469,163396,5,2013
54,6,JUN,X2013,137853,176827,6,2013
55,7,JUL,X2013,160617,188456,7,2013
56,8,AUG,X2013,137614,180619,8,2013
57,9,SEP,X2013,121625,140648,9,2013
58,10,OCT,X2013,69872,155701,10,2013
59,11,NOV,X2013,131877,153474,11,2013
60,12,DEC,X2013,144360,176273,12,2013
61,1,JAN,X2012,122790,165445,1,2012
62,2,FEB,X2012,117846,161106,2,2012
63,3,MAR,X2012,117042,181731,3,2012
64,4,APR,X2012,103413,155719,4,2012
65,5,MAY,X2012,111466,159362,5,2012
66,6,JUN,X2012,115099,170802,6,2012
67,7,JUL,X2012,143777,189057,7,2012
68,8,AUG,X2012,141101,180154,8,2012
69,9,SEP,X2012,106287,140007,9,2012
70,10,OCT,X2012,127814,161697,10,2012
71,11,NOV,X2012,138699,163769,11,2012
72,12,DEC,X2012,138594,183201,12,2012
73,1,JAN,X2011,123319,157308,1,2011
74,2,FEB,X2011,117755,153126,2,2011
75,3,MAR,X2011,115353,167782,3,2011
76,4,APR,X2011,87252,144261,4,2011
77,5,MAY,X2011,94486,153682,5,2011
78,6,JUN,X2011,120834,164010,6,2011
79,7,JUL,X2011,136365,181253,7,2011
80,8,AUG,X2011,129456,164280,8,2011
81,9,SEP,X2011,97609,141860,9,2011
82,10,OCT,X2011,99271,150908,10,2011
83,11,NOV,X2011,117713,149731,11,2011
84,12,DEC,X2011,112710,173141,12,2011
85,1,JAN,X2010,111328,147114,1,2010
86,2,FEB,X2010,106127,143350,2,2010
87,3,MAR,X2010,106614,166029,3,2010
88,4,APR,X2010,98318,146659,4,2010
89,5,MAY,X2010,105848,146185,5,2010
90,6,JUN,X2010,115885,169462,6,2010
91,7,JUL,X2010,129048,184419,7,2010
92,8,AUG,X2010,112397,171663,8,2010
93,9,SEP,X2010,97509,136844,9,2010
94,10,OCT,X2010,95689,155750,10,2010
95,11,NOV,X2010,112732,148508,11,2010
96,12,DEC,X2010,113172,163799,12,2010
97,1,JAN,X2009,104071,152658,1,2009
98,2,FEB,X2009,106169,153924,2,2009
99,3,MAR,X2009,106949,174899,3,2009
100,4,APR,X2009,98328,160727,4,2009
101,5,MAY,X2009,93725,161886,5,2009
102,6,JUN,X2009,113992,170531,6,2009
103,7,JUL,X2009,120705,189287,7,2009
104,8,AUG,X2009,111729,172155,8,2009
105,9,SEP,X2009,89659,148158,9,2009
106,10,OCT,X2009,84031,156489,10,2009
107,11,NOV,X2009,95842,146479,11,2009
108,12,DEC,X2009,107905,166719,12,2009
109,1,JAN,X2008,125819,182275,1,2008
110,2,FEB,X2008,112535,184236,2,2008
111,3,MAR,X2008,112830,205842,3,2008
112,4,APR,X2008,74183,159861,4,2008
113,5,MAY,X2008,102657,164151,5,2008
114,6,JUN,X2008,109068,165053,6,2008
115,7,JUL,X2008,125588,174634,7,2008
116,8,AUG,X2008,119564,167455,8,2008
117,9,SEP,X2008,85911,123892,9,2008
118,10,OCT,X2008,103255,144106,10,2008
119,11,NOV,X2008,98361,138933,11,2008
120,12,DEC,X2008,100767,159642,12,2008
121,1,JAN,X2007,135389,181831,1,2007
122,2,FEB,X2007,127203,175998,2,2007
123,3,MAR,X2007,111108,212918,3,2007
124,4,APR,X2007,113100,186224,4,2007
125,5,MAY,X2007,113226,184135,5,2007
126,6,JUN,X2007,130087,209873,6,2007
127,7,JUL,X2007,151606,229863,7,2007
128,8,AUG,X2007,136842,213016,8,2007
129,9,SEP,X2007,99929,167822,9,2007
130,10,OCT,X2007,107178,179153,10,2007
131,11,NOV,X2007,121106,185677,11,2007
132,12,DEC,X2007,121005,195486,12,2007
133,1,JAN,X2006,113786,164276,1,2006
134,2,FEB,X2006,113477,158384,2,2006
135,3,MAR,X2006,134364,176872,3,2006
136,4,APR,X2006,128815,159672,4,2006
137,5,MAY,X2006,148039,165432,5,2006
138,6,JUN,X2006,204521,192874,6,2006
139,7,JUL,X2006,162344,220800,7,2006
140,8,AUG,X2006,164330,206011,8,2006
141,9,SEP,X2006,110435,159888,9,2006
142,10,OCT,X2006,112685,176959,10,2006
143,11,NOV,X2006,104488,178309,11,2006
144,12,DEC,X2006,114962,198760,12,2006
145,1,JAN,X2005,99838,158374,1,2005
146,2,FEB,X2005,108732,154855,2,2005
147,3,MAR,X2005,119045,181393,3,2005
148,4,APR,X2005,97255,149987,4,2005
149,5,MAY,X2005,124291,161248,5,2005
150,6,JUN,X2005,80464,183784,6,2005
151,7,JUL,X2005,136564,200868,7,2005
152,8,AUG,X2005,211615,180343,8,2005
153,9,SEP,X2005,181520,143235,9,2005
154,10,OCT,X2005,167435,157464,10,2005
155,11,NOV,X2005,207796,158218,11,2005
156,12,DEC,X2005,126641,177825,12,2005
157,1,JAN,X2004,101002,145977,1,2004
158,2,FEB,X2004,108509,144434,2,2004
159,3,MAR,X2004,101660,164573,3,2004
160,4,APR,X2004,96799,152075,4,2004
161,5,MAY,X2004,126179,149075,5,2004
162,6,JUN,X2004,89405,166837,6,2004
163,7,JUL,X2004,129173,185134,7,2004
164,8,AUG,X2004,135914,175131,8,2004
165,9,SEP,X2004,113402,135134,9,2004
166,10,OCT,X2004,117519,151885,10,2004
167,11,NOV,X2004,105980,147759,11,2004
168,12,DEC,X2004,81849,163349,12,2004
169,1,JAN,X2003,77502,146744,1,2003
170,2,FEB,X2003,85436,143468,2,2003
171,3,MAR,X2003,80336,164303,3,2003
172,4,APR,X2003,72984,139592,4,2003
173,5,MAY,X2003,107521,138483,5,2003
174,6,JUN,X2003,72394,150962,6,2003
175,7,JUL,X2003,109912,175050,7,2003
176,8,AUG,X2003,118371,172725,8,2003
177,9,SEP,X2003,107430,123540,9,2003
178,10,OCT,X2003,106773,140347,10,2003
179,11,NOV,X2003,101687,140625,11,2003
180,12,DEC,X2003,82178,157156,12,2003
190,10,OCT,X2002,91907,152742,10,2002
191,11,NOV,X2002,83315,147539,11,2002
192,12,DEC,X2002,62284,158244,12,2002
